transaction_id,customer_id,transaction_date,amount,category,merchant,state
237,1287,2023-03-22,678.52,Retail,Uber,NC
238,1209,2024-09-22,776.63,Travel,Shell,IL
239,1079,2024-06-02,159.29,Dining,Walmart,IL
240,2564,2024-09-09,431.44,Gas,Walmart,NY
241,3624,2023-05-21,354.72,Groceries,Uber,NC
242,1254,2022-11-24,304.68,Travel,Amazon,CA
243,3358,2022-12-15,328.18,Online,Shell,MA
244,3210,2022-11-03,723.38,Retail,Amazon,GA
245,3550,2022-07-18,560.26,Dining,Delta,WA
246,615,2023-08-30,263.18,Gas,Amazon,TX
247,3079,2023-09-03,306.21,Travel,Delta,AZ
248,2724,2024-07-09,377.47,Retail,Shell,TX
249,3491,2022-08-23,296.71,Groceries,Target,NC
250,3544,2024-02-24,172.01,Groceries,Uber,GA
251,4516,2024-04-21,351.1,Dining,Walmart,IL
252,1901,2024-11-07,68.22,Groceries,Target,TX
253,4372,2024-08-16,684.26,Travel,Uber,FL
254,1713,2023-01-16,660.77,Dining,Walmart,TX
255,2330,2024-02-07,714.08,Gas,Target,WA
256,3620,2022-04-06,359.5,Retail,Delta,AZ
257,1195,2022-01-31,522.73,Travel,Walmart,FL
258,4907,2022-04-07,648.94,Groceries,Shell,NC
259,1379,2023-12-06,255.31,Gas,Delta,FL
260,1313,2024-12-05,508.54,Gas,Amazon,TX
261,2916,2022-08-24,353.39,Retail,Delta,TX
262,750,2022-12-03,302.1,Dining,Uber,MA
263,301,2023-11-05,688.28,Groceries,Uber,TX
264,4696,2022-10-12,501.14,Online,Uber,FL
265,3983,2022-05-14,500.6,Gas,Walmart,NC
266,4625,2024-02-08,129.71,Gas,Uber,GA
267,3838,2023-11-26,280.8,Travel,Uber,NC
268,278,2023-06-23,673.8,Dining,Walmart,GA
269,4759,2022-09-17,174.73,Online,Uber,IL
270,2559,2023-05-18,776.52,Groceries,Target,FL
271,3918,2023-08-15,666.34,Groceries,Uber,MA
272,2162,2024-06-14,217.75,Travel,Shell,FL
273,4676,2024-10-18,91.03,Online,Target,CA
274,1390,2022-03-25,139.8,Groceries,Uber,IL
275,691,2023-02-14,197.55,Gas,Amazon,CA
276,4733,2022-11-24,194.01,Retail,Shell,IL
277,3469,2022-12-12,17.94,Gas,Target,CA
278,1849,2024-07-11,573.66,Travel,Walmart,TX
279,4919,2022-04-07,781.77,Groceries,Shell,AZ
280,4971,2023-09-29,232.72,Travel,Delta,CA
281,3817,2022-07-02,17.94,Retail,Amazon,GA
282,940,2024-03-24,735.06,Travel,Walmart,NY
283,3183,2024-06-14,168.93,Dining,Shell,NY
284,3310,2023-10-23,10.69,Groceries,Amazon,TX
285,2051,2024-08-02,183.18,Groceries,Uber,AZ
286,1747,2024-03-12,87.69,Travel,Walmart,MA
287,2452,2023-01-13,582.21,Travel,Delta,CA
288,25,2023-11-11,6.31,Retail,Amazon,TX
289,2557,2022-03-31,355.87,Gas,Delta,TX
290,61,2023-05-03,396.1,Dining,Amazon,TX
291,123,2024-03-30,628.44,Travel,Delta,NY
292,2103,2024-05-12,420.28,Groceries,Delta,TX
293,1187,2024-01-13,104.17,Dining,Walmart,NY
294,1731,2023-03-22,344.05,Groceries,Uber,MA
295,4642,2024-05-13,748.0,Dining,Uber,CA
296,4090,2024-11-06,193.26,Gas,Delta,WA
297,2473,2023-11-17,243.08,Retail,Uber,NC
298,2966,2024-10-24,699.24,Retail,Shell,TX
299,2278,2022-10-08,629.84,Retail,Target,IL
300,4088,2024-08-26,239.94,Retail,Target,WA
301,2965,2023-06-17,568.16,Retail,Shell,NC
302,1311,2023-08-28,72.67,Online,Delta,AZ
303,155,2023-04-23,436.68,Online,Delta,TX
304,2213,2022-03-30,697.43,Travel,Target,CA
305,3254,2023-09-02,674.8,Online,Target,AZ
306,1263,2022-05-22,166.26,Retail,Target,CA
307,1363,2023-10-24,428.87,Groceries,Walmart,CA
308,938,2023-07-14,321.78,Groceries,Amazon,FL
309,512,2022-02-20,450.88,Dining,Walmart,CA
310,187,2022-07-27,64.68,Gas,Target,WA
311,1846,2023-06-07,785.18,Travel,Amazon,NC
312,1703,2023-12-10,452.99,Travel,Uber,WA
313,391,2024-03-18,99.84,Groceries,Target,CA
314,655,2022-03-22,515.6,Groceries,Target,IL
315,4272,2023-02-13,11.13,Retail,Uber,NY
316,2822,2024-08-31,10.14,Online,Amazon,GA
317,764,2024-06-09,147.42,Travel,Target,IL
318,3401,2023-11-13,220.39,Dining,Amazon,NY
319,4807,2022-03-27,214.21,Gas,Walmart,FL
320,3268,2022-04-14,357.32,Retail,Delta,NY
321,1086,2023-04-05,412.99,Travel,Walmart,FL
322,1930,2024-01-10,340.61,Retail,Delta,TX
323,4377,2023-04-06,302.24,Dining,Target,TX
324,1964,2023-03-16,537.76,Groceries,Walmart,CA
325,1786,2023-07-23,202.43,Dining,Walmart,NY
326,2275,2024-05-18,504.11,Dining,Shell,TX
327,2687,2023-07-04,765.55,Retail,Uber,TX
328,2969,2022-08-17,380.06,Retail,Shell,WA
329,4573,2022-06-20,411.4,Travel,Delta,TX
330,716,2022-02-04,583.98,Dining,Delta,CA
331,243,2022-12-07,408.38,Travel,Target,CA
332,3916,2023-07-24,119.41,Online,Uber,AZ
333,1524,2023-06-21,490.51,Online,Uber,WA
334,838,2023-06-28,409.47,Dining,Delta,MA
335,3324,2022-12-22,761.42,Dining,Uber,CA
336,2954,2024-01-15,78.94,Gas,Amazon,IL
337,1346,2024-10-16,431.49,Groceries,Target,GA
338,2424,2023-06-17,495.46,Online,Walmart,NY
339,2029,2023-01-08,497.82,Dining,Delta,NY
340,1433,2024-10-12,52.46,Dining,Uber,CA
341,240,2022-01-14,265.63,Dining,Uber,TX
342,139,2022-08-03,213.72,Retail,Uber,WA
343,3194,2023-06-20,545.59,Dining,Target,GA
344,420,2024-11-09,589.65,Dining,Walmart,GA
345,304,2024-07-16,171.37,Gas,Uber,AZ
346,2163,2023-03-12,661.73,Retail,Walmart,MA
347,2027,2024-09-17,390.6,Groceries,Walmart,IL
348,4103,2024-12-11,214.05,Gas,Target,NC
349,2227,2022-12-23,243.3,Travel,Uber,IL
350,1169,2023-12-20,214.51,Gas,Uber,CA
351,416,2024-05-21,485.53,Groceries,Walmart,WA
352,2714,2023-08-30,424.02,Groceries,Uber,AZ
353,150,2024-02-17,751.29,Travel,Shell,WA
354,2445,2022-11-22,222.58,Travel,Target,IL
355,839,2023-06-11,258.75,Groceries,Uber,TX
356,1697,2023-11-18,10.15,Online,Uber,CA
357,4340,2022-08-07,242.18,Groceries,Uber,GA
358,1911,2023-06-06,204.45,Travel,Target,TX
359,1422,2023-02-09,324.59,Online,Walmart,AZ
360,4975,2024-11-08,399.03,Travel,Shell,AZ
361,3002,2023-08-03,537.85,Gas,Walmart,IL
362,1321,2024-02-29,157.55,Groceries,Uber,TX
363,4036,2022-10-21,447.35,Gas,Shell,IL
364,1524,2022-01-15,584.27,Dining,Target,TX
365,3879,2022-11-22,196.74,Gas,Uber,AZ
366,553,2024-08-28,284.21,Dining,Target,GA
367,3757,2022-06-07,168.07,Groceries,Target,NC
368,3672,2024-06-18,93.27,Retail,Walmart,CA
369,482,2024-03-16,606.18,Travel,Shell,AZ
370,600,2022-05-27,195.85,Online,Amazon,FL
371,1165,2023-05-29,297.22,Online,Amazon,WA
372,4679,2024-12-27,201.91,Dining,Delta,IL
373,4233,2023-05-19,39.84,Travel,Delta,FL
374,1004,2024-12-28,584.55,Dining,Shell,NC
375,1983,2023-02-17,516.45,Online,Shell,AZ
376,1635,2024-12-23,383.52,Online,Amazon,AZ
377,2998,2023-08-15,541.1,Retail,Walmart,FL
378,687,2024-02-05,677.97,Retail,Delta,FL
379,3415,2022-08-25,496.68,Retail,Shell,AZ
380,1760,2023-01-31,725.89,Groceries,Amazon,MA
381,4938,2022-05-12,165.19,Retail,Walmart,CA
382,2481,2022-08-14,707.27,Retail,Delta,CA
383,1338,2022-04-28,435.52,Dining,Delta,FL
384,115,2023-09-30,674.09,Dining,Amazon,GA
385,3958,2022-12-05,596.33,Retail,Delta,TX
386,569,2023-02-23,50.82,Online,Walmart,NY
387,1554,2023-04-07,671.05,Online,Shell,NC
388,2690,2023-11-07,273.14,Groceries,Amazon,NY
389,4591,2023-12-19,341.39,Travel,Walmart,NC
390,3341,2022-04-24,13.8,Travel,Delta,NC
391,2989,2023-07-17,608.18,Travel,Walmart,TX
392,3152,2022-11-02,376.23,Retail,Uber,IL
393,3528,2023-09-15,752.0,Gas,Target,WA
394,3016,2022-02-24,228.39,Travel,Delta,MA
395,822,2023-06-08,399.38,Retail,Uber,GA
396,3575,2023-03-10,331.85,Groceries,Target,IL
397,3788,2022-07-09,634.73,Dining,Amazon,AZ
398,1609,2023-01-24,430.84,Dining,Target,NC
399,560,2023-10-29,370.6,Travel,Shell,CA
400,4064,2022-12-12,757.72,Gas,Amazon,CA
401,4436,2022-09-22,305.46,Dining,Uber,GA
402,612,2024-05-21,394.57,Retail,Target,NY
403,2164,2022-05-21,445.54,Gas,Delta,FL
404,1882,2024-01-19,47.82,Retail,Uber,GA
405,4170,2023-07-10,423.58,Travel,Target,FL
406,3864,2022-08-27,271.96,Gas,Walmart,CA
407,3709,2024-04-15,521.95,Online,Shell,GA
408,1710,2024-08-27,516.68,Online,Walmart,WA
409,1762,2023-07-19,570.48,Online,Amazon,WA
410,1693,2023-09-13,322.32,Retail,Uber,NY
411,1246,2022-09-14,88.31,Retail,Walmart,GA
412,126,2024-10-31,354.13,Groceries,Target,TX
413,4753,2022-06-27,443.99,Groceries,Delta,FL
414,1200,2024-09-09,24.76,Travel,Amazon,WA
415,2712,2023-02-01,440.15,Retail,Shell,IL
416,3447,2023-06-21,322.42,Gas,Target,TX
417,991,2023-09-30,385.37,Gas,Amazon,AZ
418,3066,2022-09-23,246.15,Retail,Shell,MA
419,4955,2024-09-11,396.25,Online,Walmart,TX
420,1522,2023-02-08,706.06,Retail,Uber,FL
421,4729,2022-05-19,631.34,Online,Delta,CA
422,2499,2022-03-10,494.76,Retail,Walmart,NC
423,2566,2024-03-15,503.13,Online,Uber,FL
424,4791,2022-06-26,716.84,Gas,Delta,IL
425,2598,2023-06-29,386.36,Gas,Uber,NY
426,116,2022-10-28,433.78,Retail,Walmart,GA
427,1032,2024-10-11,688.84,Online,Delta,IL
428,1242,2023-10-08,605.0,Gas,Target,CA
429,1743,2023-02-03,349.28,Groceries,Shell,FL
430,3639,2024-01-27,247.68,Travel,Shell,MA
431,4400,2023-07-27,416.67,Online,Walmart,GA
432,4091,2022-02-25,100.89,Dining,Amazon,WA
433,1976,2023-01-17,545.95,Groceries,Delta,IL
434,4184,2023-04-16,374.24,Online,Uber,AZ
435,4404,2023-09-27,478.02,Online,Walmart,GA
436,4898,2024-01-13,677.73,Gas,Uber,WA
437,164,2022-02-04,288.27,Groceries,Target,MA
438,3311,2024-09-02,400.25,Travel,Uber,TX
439,3389,2022-01-21,446.77,Retail,Walmart,NY
440,996,2022-09-22,227.74,Dining,Delta,NY
441,1878,2023-04-02,223.49,Online,Walmart,TX
442,1824,2024-08-07,423.35,Travel,Amazon,MA
443,4907,2023-01-18,209.44,Retail,Amazon,FL
444,2296,2023-06-19,689.66,Dining,Uber,NY
445,3265,2024-11-28,795.93,Retail,Uber,FL
446,1349,2024-09-10,172.63,Travel,Shell,GA
447,1804,2024-11-11,462.33,Gas,Shell,IL
448,2252,2022-02-16,120.58,Groceries,Walmart,WA
449,2901,2024-01-16,152.53,Online,Uber,WA
450,1594,2023-06-23,613.95,Dining,Uber,MA
451,433,2024-12-07,163.75,Retail,Shell,TX
452,3818,2023-11-10,600.46,Online,Shell,TX
453,4918,2024-09-10,326.2,Dining,Uber,IL
454,1071,2022-02-14,386.17,Travel,Delta,WA
455,4601,2022-10-02,211.23,Online,Amazon,CA
456,115,2024-09-11,441.44,Groceries,Delta,MA
457,1440,2022-08-20,268.59,Dining,Shell,IL
458,1791,2022-03-27,143.78,Gas,Walmart,CA
459,995,2022-06-26,115.56,Retail,Target,TX
460,4319,2023-09-30,799.73,Travel,Amazon,NY
461,4732,2024-12-19,279.78,Retail,Walmart,WA
462,4768,2023-08-11,644.92,Gas,Uber,CA
463,958,2023-08-26,276.4,Travel,Target,GA
464,96,2023-09-30,500.25,Groceries,Target,NY
465,2155,2022-04-24,673.72,Gas,Target,NC
466,632,2024-09-25,558.35,Travel,Shell,WA
467,3685,2023-09-04,59.92,Gas,Delta,AZ
468,1702,2022-05-31,158.26,Travel,Shell,MA
469,698,2023-08-07,699.5,Groceries,Walmart,NY
470,32,2024-09-14,379.62,Online,Delta,TX
471,4875,2023-01-05,480.78,Retail,Delta,FL
472,549,2024-09-01,24.44,Travel,Shell,NY
473,2249,2022-03-13,392.42,Dining,Amazon,MA
474,1894,2024-05-09,347.53,Online,Delta,MA
475,2835,2022-12-19,550.53,Gas,Uber,MA
476,1704,2024-10-31,223.19,Retail,Target,FL
477,1157,2024-03-20,596.39,Gas,Walmart,NY
478,344,2024-01-11,538.36,Gas,Delta,AZ
479,4073,2023-09-30,410.22,Dining,Walmart,GA
480,3463,2022-06-02,303.64,Dining,Amazon,NC
481,2249,2023-01-21,245.08,Retail,Shell,NC
482,945,2023-11-22,430.4,Dining,Target,FL
483,3881,2022-05-19,463.58,Dining,Amazon,AZ
484,2051,2022-07-25,361.26,Dining,Delta,TX
485,3286,2022-04-06,259.86,Dining,Walmart,GA
486,2856,2023-12-27,704.52,Retail,Amazon,MA
487,1331,2022-11-14,251.62,Online,Target,FL
488,2004,2023-05-27,539.37,Online,Delta,TX
489,3616,2022-01-19,724.34,Gas,Delta,NY
490,1788,2023-02-11,519.25,Dining,Target,CA
491,2247,2024-08-26,295.91,Groceries,Amazon,CA
492,3673,2024-05-12,241.28,Retail,Walmart,IL
493,2156,2022-04-11,683.45,Gas,Target,CA
494,3480,2023-08-16,394.52,Gas,Amazon,TX
495,3021,2023-11-26,476.73,Travel,Uber,NC
496,52,2022-01-18,479.06,Gas,Amazon,WA
497,2160,2022-05-09,429.37,Gas,Amazon,AZ
498,4391,2024-09-18,745.4,Gas,Uber,GA
499,3652,2023-01-01,745.17,Travel,Target,CA
500,3916,2023-04-07,37.14,Retail,Target,NY
501,2113,2024-07-23,407.0,Groceries,Amazon,NC
502,2622,2022-11-28,454.63,Dining,Uber,TX
503,4561,2023-11-16,740.82,Travel,Walmart,NC
504,4730,2024-06-29,60.38,Dining,Amazon,IL
505,1355,2022-01-20,632.31,Online,Shell,CA
506,3755,2023-06-30,515.72,Retail,Walmart,FL
507,210,2023-07-26,587.34,Gas,Delta,GA
508,238,2023-04-07,236.91,Gas,Shell,NC
509,336,2024-06-27,598.56,Gas,Target,NY
510,3839,2023-08-28,229.72,Retail,Amazon,CA
511,1577,2022-11-19,542.16,Gas,Amazon,FL
512,500,2022-03-30,630.68,Retail,Uber,NC
513,1565,2022-06-22,627.73,Groceries,Uber,FL
